pathwayID,entityRef
R-HSA-211859,reactome:SmallMoleculeReference212
R-HSA-211859,reactome:SmallMoleculeReference282
R-HSA-211859,reactome:SmallMoleculeReference294
R-HSA-211859,reactome:ProteinReference906
R-HSA-211859,reactome:SmallMoleculeReference347
R-HSA-211859,reactome:SmallMoleculeReference346
R-HSA-211859,reactome:SmallMoleculeReference216
R-HSA-211859,reactome:ProteinReference720
R-HSA-211859,reactome:SmallMoleculeReference293
R-HSA-211859,reactome:ProteinReference2670
R-HSA-211859,reactome:SmallMoleculeReference209
R-HSA-211859,reactome:ProteinReference325
R-HSA-211859,reactome:SmallMoleculeReference1666
R-HSA-211859,reactome:SmallMoleculeReference1667
R-HSA-211859,reactome:SmallMoleculeReference436
R-HSA-211859,reactome:ProteinReference2689
R-HSA-211859,reactome:SmallMoleculeReference96
R-HSA-211859,reactome:SmallMoleculeReference1698
R-HSA-211859,reactome:SmallMoleculeReference1699
R-HSA-211859,reactome:SmallMoleculeReference95
R-HSA-211859,reactome:SmallMoleculeReference1706
R-HSA-211859,reactome:SmallMoleculeReference1707
R-HSA-211859,reactome:ProteinReference2714
R-HSA-211859,reactome:SmallMoleculeReference1697
R-HSA-211859,reactome:SmallMoleculeReference1696
R-HSA-211859,reactome:ProteinReference2712
R-HSA-211859,reactome:SmallMoleculeReference1704
R-HSA-211859,reactome:SmallMoleculeReference1705
R-HSA-211859,reactome:SmallMoleculeReference1708
R-HSA-211859,reactome:SmallMoleculeReference1709
R-HSA-211859,reactome:ProteinReference2716
R-HSA-211859,reactome:ProteinReference2715
R-HSA-211859,reactome:SmallMoleculeReference147
R-HSA-211859,reactome:SmallMoleculeReference4
R-HSA-211859,reactome:ProteinReference2711
R-HSA-211859,reactome:ProteinReference2710
R-HSA-211859,reactome:SmallMoleculeReference43
R-HSA-211859,reactome:SmallMoleculeReference54
R-HSA-211859,reactome:SmallMoleculeReference631
R-HSA-211859,reactome:SmallMoleculeReference632
R-HSA-211859,reactome:SmallMoleculeReference1506
R-HSA-211859,reactome:SmallMoleculeReference1702
R-HSA-211859,reactome:SmallMoleculeReference1703
R-HSA-211859,reactome:ProteinReference2713
R-HSA-211859,reactome:SmallMoleculeReference1305
R-HSA-211859,reactome:SmallMoleculeReference244
R-HSA-211859,reactome:SmallMoleculeReference1142
R-HSA-211859,reactome:ProteinReference2217
R-HSA-211859,reactome:ProteinReference2218
R-HSA-211859,reactome:SmallMoleculeReference1304
R-HSA-211859,reactome:SmallMoleculeReference1299
R-HSA-211859,reactome:SmallMoleculeReference190
R-HSA-211859,reactome:ProteinReference2410
R-HSA-211859,reactome:SmallMoleculeReference613
R-HSA-211859,reactome:ProteinReference2173
R-HSA-211859,reactome:SmallMoleculeReference1700
R-HSA-211859,reactome:SmallMoleculeReference1701
R-HSA-211859,reactome:ProteinReference2246
R-HSA-211859,reactome:SmallMoleculeReference210
R-HSA-211859,reactome:SmallMoleculeReference47
R-HSA-211859,reactome:ProteinReference2707
R-HSA-211859,reactome:SmallMoleculeReference211
R-HSA-211859,reactome:SmallMoleculeReference978
