pathwayID,entity
R-HSA-390247,reactome:SmallMolecule3695
R-HSA-390247,reactome:SmallMolecule3717
R-HSA-390247,reactome:SmallMolecule3683
R-HSA-390247,reactome:SmallMolecule3697
R-HSA-390247,reactome:Protein1496
R-HSA-390247,reactome:SmallMolecule614
R-HSA-390247,reactome:SmallMolecule3714
R-HSA-390247,reactome:SmallMolecule613
R-HSA-390247,reactome:SmallMolecule3594
R-HSA-390247,reactome:SmallMolecule3718
R-HSA-390247,reactome:SmallMolecule3597
R-HSA-390247,reactome:Protein1561
R-HSA-390247,reactome:SmallMolecule3712
R-HSA-390247,reactome:SmallMolecule3713
R-HSA-390247,reactome:SmallMolecule3721
R-HSA-390247,reactome:SmallMolecule615
R-HSA-390247,reactome:SmallMolecule3684
R-HSA-390247,reactome:SmallMolecule3722
R-HSA-390247,reactome:Protein1500
R-HSA-390247,reactome:SmallMolecule3720
R-HSA-390247,reactome:SmallMolecule3687
R-HSA-390247,reactome:Protein1522
R-HSA-390247,reactome:SmallMolecule3679
R-HSA-390247,reactome:SmallMolecule3710
R-HSA-390247,reactome:SmallMolecule3681
R-HSA-390247,reactome:SmallMolecule3711
R-HSA-390247,reactome:SmallMolecule3678
R-HSA-390247,reactome:Protein1514
R-HSA-390247,reactome:SmallMolecule3723
R-HSA-390247,reactome:SmallMolecule3726
R-HSA-390247,reactome:Protein29439
R-HSA-390247,reactome:SmallMolecule3719
R-HSA-390247,reactome:SmallMolecule12
R-HSA-390247,reactome:SmallMolecule25
R-HSA-390247,reactome:SmallMolecule3429
R-HSA-390247,reactome:SmallMolecule102
R-HSA-390247,reactome:SmallMolecule135
R-HSA-390247,reactome:SmallMolecule13
R-HSA-2894858,reactome:Protein182
R-HSA-2894858,reactome:Protein13314
R-HSA-2894858,reactome:PhysicalEntity909
R-HSA-2894858,reactome:PhysicalEntity910
R-HSA-2894858,reactome:Protein13328
R-HSA-2894858,reactome:Dna650
R-HSA-2894858,reactome:Protein118
R-HSA-2894858,reactome:Protein13362
R-HSA-2894858,reactome:Protein4389
R-HSA-2894858,reactome:Protein13361
R-HSA-2894858,reactome:Protein2495
R-HSA-2894858,reactome:Dna646
R-HSA-2894858,reactome:Dna645
R-HSA-2894858,reactome:Protein13368
R-HSA-2894858,reactome:Protein13346
R-HSA-2894858,reactome:Protein13289
R-HSA-2894858,reactome:Protein13334
R-HSA-2894858,reactome:Dna644
R-HSA-2894858,reactome:Protein13367
R-HSA-2894858,reactome:Protein13374
R-HSA-2894858,reactome:Protein13339
R-HSA-2894858,reactome:SmallMolecule4
R-HSA-2894858,reactome:SmallMolecule5
R-HSA-2894858,reactome:Protein13294
R-HSA-2894858,reactome:Protein13292
R-HSA-2894858,reactome:Protein13293
R-HSA-2894858,reactome:Protein13369
R-HSA-196783,reactome:SmallMolecule12
R-HSA-196783,reactome:SmallMolecule102
R-HSA-196783,reactome:SmallMolecule4700
R-HSA-196783,reactome:SmallMolecule28
R-HSA-196783,reactome:SmallMolecule4705
R-HSA-196783,reactome:Protein30219
R-HSA-196783,reactome:SmallMolecule2896
R-HSA-196783,reactome:SmallMolecule4703
R-HSA-196783,reactome:SmallMolecule13
