"pathwayID","entityID"
"R-HSA-1980143","Q9NR61"
"R-HSA-1980143","Q9Y219"
"R-HSA-1980143","P62877"
"R-HSA-1980143","Q13616"
"R-HSA-1980143","P63208"
"R-HSA-1980143","Q06330"
"R-HSA-1980143","Q13573"
"R-HSA-1980143","Q14469"
"R-HSA-1980143","Q09472"
"R-HSA-1980143","Q92793"
"R-HSA-1980143","P24863"
"R-HSA-1980143","P49336"
"R-HSA-1980143","Q8NFP9"
"R-HSA-1980143","Q5TA89"
"R-HSA-1980143","P01106"
"R-HSA-1980143","Q16665"
"R-HSA-5655253","Q13480"
"R-HSA-5655253","P27986"
"R-HSA-5655253","Q8WU20"
"R-HSA-5655253",
"R-HSA-5655253","P13984"
"R-HSA-5655253","P35269"
"R-HSA-5655253","P62487"
"R-HSA-5655253","O15514"
"R-HSA-5655253","P19388"
"R-HSA-5655253","P19387"
"R-HSA-5655253","P62875"
"R-HSA-5655253","P52434"
"R-HSA-5655253","P53803"
"R-HSA-5655253","P24928"
"R-HSA-5655253","P52435"
"R-HSA-5655253","P61218"
"R-HSA-5655253","P36954"
"R-HSA-5655253","P30876"
"R-HSA-5655253","P52298"
"R-HSA-5655253","Q09161"
"R-HSA-5655253","P21802"
"R-HSA-5655253","P19174"
"R-HSA-5655253","Q07889"
"R-HSA-5655253","P42336"
"R-HSA-4755583",
"R-HSA-9707587",
"R-HSA-9707587","P09601"
"R-HSA-9707587","O60675"
"R-HSA-9707587","O14867"
"R-HSA-9707587","Q8TCT9"
"R-HSA-4549356",
"R-HSA-167021","P04629"
"R-HSA-167021","P01138"
"R-HSA-167021","P19174"
"R-HSA-167021",
"R-HSA-5250981",
"R-HSA-5250981","P30996"
"R-HSA-5250981","P23763"
"R-HSA-5250981","P63027"
"R-HSA-2142770",
"R-HSA-2142770","P35354"
"R-HSA-432030",
"R-HSA-432030","O14520"
"R-HSA-432030","O43315"
"R-HSA-390247",
"R-HSA-390247","P51659"
"R-HSA-390247","Q08426"
"R-HSA-390247","P09110"
"R-HSA-390247","Q9NUI1"
"R-HSA-390247","O14975"
"R-HSA-390247","P33897"
"R-HSA-2894858",
"R-HSA-2894858","P01106"
"R-HSA-2894858","Q09472"
"R-HSA-2894858","Q92793"
"R-HSA-2894858","Q06330"
"R-HSA-2894858","Q13573"
"R-HSA-2894858","Q5TA89"
"R-HSA-2894858","O00548"
"R-HSA-2894858","Q14469"
"R-HSA-2894858","P62877"
"R-HSA-2894858","Q13616"
"R-HSA-2894858","P63208"
"R-HSA-2894858","P46531"
"R-HSA-2894858","Q92542"
"R-HSA-2894858","Q9NZ42"
"R-HSA-2894858","P24863"
"R-HSA-2894858","P49336"
"R-HSA-2894858","Q9Y219"
"R-HSA-2894858","Q9NR61"
"R-HSA-2894858","P78504"
"R-HSA-196783",
"R-HSA-196783","Q13057"
"R-HSA-196783","Q96CD2"
"R-HSA-196783","Q8WVC6"
"R-HSA-196783","Q9HAB8"
"R-HSA-196783","Q9BZ23"
"R-HSA-6783984","P23434"
"R-HSA-6783984",
"R-HSA-6783984","P09622"
"R-HSA-6783984","P36957"
"R-HSA-6783984","P82909"
"R-HSA-6783984","Q02218"
"R-HSA-6783984","P48728"
"R-HSA-6783984","P23378"
"R-HSA-9616334","Q96FI4"
"R-HSA-9616334",
"R-HSA-211994",
"R-HSA-211994","Q9UNU6"
"R-HSA-2980736",
"R-HSA-2980736","P27487"
"R-HSA-2980736","P01275"
"R-HSA-2980736","Q15005"
