pathwayID,interaction,nextPathwayID,tag
R-HSA-9020591,abstraction:NextStepPathway,R-HSA-9942503,orignal
R-HSA-9020591,abstraction:NextStepPathway,R-HSA-8950505,orignal
R-HSA-9020591,abstraction:NextStepPathway,R-HSA-9020933,orignal
R-HSA-381042,abstraction:NextStepPathway,R-HSA-9633012,orignal
R-HSA-381042,abstraction:NextStepPathway,R-HSA-9648895,orignal
R-HSA-381042,abstraction:NextStepPathway,R-HSA-380994,orignal
R-HSA-381042,abstraction:NextStepPathway,R-HSA-381183,orignal
R-HSA-389359,abstraction:NextStepPathway,R-HSA-5627123,orignal
R-HSA-389359,abstraction:NextStepPathway,R-HSA-5687128,orignal
R-HSA-2559582,abstraction:NextStepPathway,R-HSA-199920,orignal
R-HSA-2559582,abstraction:NextStepPathway,R-HSA-2559585,orignal
R-HSA-2559582,abstraction:NextStepPathway,R-HSA-2559580,orignal
R-HSA-2559582,abstraction:NextStepPathway,R-HSA-881907,orignal
R-HSA-2559582,abstraction:NextStepPathway,R-HSA-8853884,orignal
R-HSA-2559582,abstraction:NextStepPathway,R-HSA-69231,orignal
R-HSA-9830674,abstraction:NextStepPathway,R-HSA-4086400,orignal
R-HSA-9830674,abstraction:NextStepPathway,R-HSA-373752,orignal
R-HSA-9830674,abstraction:NextStepPathway,R-HSA-428542,orignal
R-HSA-9633012,abstraction:NextStepPathway,R-HSA-381042,orignal
R-HSA-9633012,abstraction:NextStepPathway,R-HSA-9648895,orignal
R-HSA-9633012,abstraction:NextStepPathway,R-HSA-380994,orignal
R-HSA-9633012,abstraction:NextStepPathway,R-HSA-9909649,orignal
R-HSA-9633012,abstraction:NextStepPathway,R-HSA-381183,orignal
R-HSA-176417,abstraction:NextStepPathway,R-HSA-174113,orignal
R-HSA-9931521,abstraction:NextStepPathway,R-HSA-9932298,orignal
R-HSA-389356,abstraction:NextStepPathway,R-HSA-389359,orignal
R-HSA-389356,abstraction:NextStepPathway,R-HSA-389357,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-114508,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-2871809,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-112043,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-9664323,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-76005,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-2029485,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-5218921,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-422356,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-5607763,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-1489509,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-4086398,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-983695,orignal
R-HSA-418217,abstraction:NextStepPathway,R-HSA-426048,orignal
R-HSA-9009391,abstraction:NextStepPathway,R-HSA-203615,orignal
R-HSA-8851907,abstraction:NextStepPathway,R-HSA-8865999,orignal
R-HSA-8851907,abstraction:NextStepPathway,R-HSA-8875555,orignal
R-HSA-2151209,abstraction:NextStepPathway,R-HSA-2151201,orignal
R-HSA-1971475,abstraction:NextStepPathway,R-HSA-2022928,orignal
R-HSA-1971475,abstraction:NextStepPathway,R-HSA-2022870,orignal
R-HSA-167238,abstraction:NextStepPathway,R-HSA-167246,orignal
R-HSA-6796648,abstraction:NextStepPathway,R-HSA-6783310,orignal
R-HSA-6796648,abstraction:NextStepPathway,R-HSA-5358606,orignal
R-HSA-6796648,abstraction:NextStepPathway,R-HSA-5358565,orignal
R-HSA-5357786,abstraction:NextStepPathway,R-HSA-69416,orignal
R-HSA-5357786,abstraction:NextStepPathway,R-HSA-5357905,orignal
R-HSA-5357786,abstraction:NextStepPathway,R-HSA-5675482,orignal
R-HSA-5357786,abstraction:NextStepPathway,R-HSA-5218900,orignal
R-HSA-5357786,abstraction:NextStepPathway,R-HSA-3371378,orignal
R-HSA-9609690,abstraction:NextStepPathway,R-HSA-9610379,orignal
R-HSA-9609690,abstraction:NextStepPathway,R-HSA-9833482,orignal
R-HSA-112310,abstraction:NextStepPathway,R-HSA-112313,orignal
R-HSA-9619483,abstraction:NextStepPathway,R-HSA-9833482,orignal
R-HSA-5689603,abstraction:NextStepPathway,R-HSA-8951664,orignal
R-HSA-5689603,abstraction:NextStepPathway,R-HSA-5689880,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-5673001,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-2559582,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-2559580,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-2871809,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-450341,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-9909649,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-2730905,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-2424491,orignal
R-HSA-2871796,abstraction:NextStepPathway,R-HSA-450321,orignal
R-HSA-389960,abstraction:NextStepPathway,R-HSA-389977,orignal
R-HSA-877300,abstraction:NextStepPathway,R-HSA-9732724,orignal
R-HSA-877300,abstraction:NextStepPathway,R-HSA-877312,orignal
R-HSA-877300,abstraction:NextStepPathway,R-HSA-2173795,orignal
R-HSA-877300,abstraction:NextStepPathway,R-HSA-2173796,orignal
