previousPathwayAncestorID,interaction,nextPathwayAncestorID,tag
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-69620,inferred
R-HSA-5633007,abstraction:NextStepPathway,R-HSA-1640170,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-69895,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-69560,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-69563,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-69580,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-69615,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-69620,inferred
R-HSA-3700989,abstraction:NextStepPathway,R-HSA-1640170,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-69895,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-69560,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-69563,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-69580,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-69615,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-69620,inferred
R-HSA-212436,abstraction:NextStepPathway,R-HSA-1640170,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-69895,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-69560,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-69563,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-69580,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-69615,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-69620,inferred
R-HSA-73857,abstraction:NextStepPathway,R-HSA-1640170,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-69895,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-69560,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-69563,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-69580,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-69615,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-69620,inferred
R-HSA-74160,abstraction:NextStepPathway,R-HSA-1640170,inferred
R-HSA-2586552,abstraction:NextStepPathway,R-HSA-9703465,inferred
R-HSA-2586552,abstraction:NextStepPathway,R-HSA-9682385,inferred
R-HSA-2586552,abstraction:NextStepPathway,R-HSA-5663202,inferred
R-HSA-2586552,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-162582,abstraction:NextStepPathway,R-HSA-9703465,inferred
R-HSA-162582,abstraction:NextStepPathway,R-HSA-9682385,inferred
R-HSA-162582,abstraction:NextStepPathway,R-HSA-5663202,inferred
R-HSA-162582,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-2586552,abstraction:NextStepPathway,R-HSA-9702518,inferred
R-HSA-2586552,abstraction:NextStepPathway,R-HSA-9703648,inferred
R-HSA-162582,abstraction:NextStepPathway,R-HSA-9702518,inferred
R-HSA-162582,abstraction:NextStepPathway,R-HSA-9703648,inferred
R-HSA-9020558,abstraction:NextStepPathway,R-HSA-9703465,inferred
R-HSA-9020558,abstraction:NextStepPathway,R-HSA-9682385,inferred
R-HSA-9020558,abstraction:NextStepPathway,R-HSA-5663202,inferred
R-HSA-9020558,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-451927,abstraction:NextStepPathway,R-HSA-9703465,inferred
R-HSA-451927,abstraction:NextStepPathway,R-HSA-9682385,inferred
R-HSA-451927,abstraction:NextStepPathway,R-HSA-5663202,inferred
R-HSA-451927,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-449147,abstraction:NextStepPathway,R-HSA-9703465,inferred
R-HSA-449147,abstraction:NextStepPathway,R-HSA-9682385,inferred
R-HSA-449147,abstraction:NextStepPathway,R-HSA-5663202,inferred
R-HSA-449147,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-1280215,abstraction:NextStepPathway,R-HSA-9703465,inferred
R-HSA-1280215,abstraction:NextStepPathway,R-HSA-9682385,inferred
R-HSA-1280215,abstraction:NextStepPathway,R-HSA-5663202,inferred
R-HSA-1280215,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-168256,abstraction:NextStepPathway,R-HSA-9703465,inferred
R-HSA-168256,abstraction:NextStepPathway,R-HSA-9682385,inferred
R-HSA-168256,abstraction:NextStepPathway,R-HSA-5663202,inferred
R-HSA-168256,abstraction:NextStepPathway,R-HSA-1643685,inferred
R-HSA-9020558,abstraction:NextStepPathway,R-HSA-9702518,inferred
