pathwayName,nextName,tag
GAB1 signalosome,Downstream signaling of activated FGFR3,NextStepParentPathway
PI-3K cascade:FGFR1,Downstream signaling of activated FGFR3,NextStepParentPathway
Release of apoptotic factors from the mitochondria,Cytochrome c-mediated apoptotic response,NextStepParentPathway
Pyroptosis,Cytochrome c-mediated apoptotic response,NextStepParentPathway
TP53 Regulates Transcription of Caspase Activators and Caspases,Cytochrome c-mediated apoptotic response,NextStepParentPathway
Formation of apoptosome,Cytochrome c-mediated apoptotic response,NextStepParentPathway
ROS and RNS production in phagocytes,ROS and RNS production in phagocytes,NextStepParentPathway
Thyroxine biosynthesis,ROS and RNS production in phagocytes,NextStepParentPathway
G beta:gamma signalling through PLC beta,Effects of PIP2 hydrolysis,NextStepParentPathway
GPVI-mediated activation cascade,Effects of PIP2 hydrolysis,NextStepParentPathway
G alpha (q) signalling events,Effects of PIP2 hydrolysis,NextStepParentPathway
Ca2+ pathway,Effects of PIP2 hydrolysis,NextStepParentPathway
O-linked glycosylation of mucins,O-linked glycosylation of mucins,NextStepParentPathway
VEGFA-VEGFR2 Pathway,Signalling to RAS,NextStepParentPathway
Signalling to RAS,Signalling to RAS,NextStepParentPathway
Insulin receptor signalling cascade,Signalling to RAS,NextStepParentPathway
"GABA synthesis, release, reuptake and degradation",Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
G alpha (i) signalling events,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
ADP signalling through P2Y purinoceptor 12,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Class C/3 (Metabotropic glutamate/pheromone receptors),Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Activation of G protein gated Potassium channels,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
GABA B receptor activation,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Glutamate Neurotransmitter Release Cycle,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Trafficking of AMPA receptors,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
Activation of RAC1 downstream of NMDARs,Neurotransmitter receptors and postsynaptic signal transmission,NextStepParentPathway
